code,question
P4_D,QUAIS DAS LINGUAGENS LISTADAS ABAIXO VOCÊ UTILIZA NO TRABALHO?
P4_E,"ENTRE AS LINGUAGENS LISTADAS ABAIXO, QUAL É A QUE VOCÊ MAIS UTILIZA NO TRABALHO?"
P4_F,"ENTRE AS LINGUAGENS LISTADAS ABAIXO, QUAL É A SUA PREFERIDA?"
P4_G,QUAIS DOS BANCOS DE DADOS FONTES DE DADOS LISTADOS ABAIXO VOCÊ UTILIZA NO TRABALHO?
P4_H,"DENTRE AS OPÇÕES LISTADAS, QUAL SUA CLOUD PREFERIDA?"
P4_I,CLOUD PREFERIDA
P4_J,FERRAMENTA DE BI UTILIZADA NO DIA A DIA
P4_K,QUAL SUA FERRAMENTA DE BI PREFERIDA?
P4_L,QUAL O TIPO DE USO DE AI GENERATIVA E LLMS NA EMPRESA
P4_M,UTILIZA CHATGPT OU LLMS NO TRABALHO?
P5_A,QUAL SEU OBJETIVO NA ÁREA DE DADOS?
P5_B,QUAL OPORTUNIDADE VOCÊ ESTÁ BUSCANDO?
P5_C,HÁ QUANTO TEMPO VOCÊ BUSCA UMA OPORTUNIDADE NA ÁREA DE DADOS?
P5_D,COMO TEM SIDO A BUSCA POR UM EMPREGO NA ÁREA DE DADOS?
P6_A,QUAIS DAS OPÇÕES ABAIXO FAZEM PARTE DA SUA ROTINA NO TRABALHO ATUAL COMO ENGENHEIRO DE DADOS?
P6_B,QUAIS AS FERRAMENTAS TECNOLOGIAS DE ETL QUE VOCÊ UTILIZA NO TRABALHO COMO DATA ENGINEER?
P6_C,SUA ORGANIZAÇÃO POSSUI UM DATA LAKE?
P6_D,QUAL TECNOLOGIA UTILIZADA COMO PLATAFORMA DO DATA LAKE?
P6_E,SUA ORGANIZAÇÃO POSSUI UM DATA WAREHOUSE?
P6_F,QUAL TECNOLOGIA UTILIZADA COMO PLATAFORMA DO DATA WAREHOUSE?
P6_G,"QUAIS AS FERRAMENTAS DE GESTÃO DE QUALIDADE DE DADOS, METADADOS E CATÁLOGO DE DADOS VOCÊ UTILIZA NO TRABALHO?"
P6_H,EM QUAL DAS OPÇÕES ABAIXO VOCÊ GASTA A MAIOR PARTE DO SEU TEMPO?
P7_1,QUAIS DAS OPÇÕES ABAIXO FAZEM PARTE DA SUA ROTINA NO TRABALHO ATUAL COM ANÁLISE DE DADOS?
P7_B,QUAIS AS FERRAMENTAS TECNOLOGIAS DE ETL QUE VOCÊ UTILIZA NO TRABALHO COMO DATA ANALYST?
P7_C,SUA EMPRESA UTILIZA ALGUMA DAS FERRAMENTAS LISTADAS PARA DAR MAIS AUTONOMIA EM ANÁLISE DE DADOS PARA AS ÁREAS DE NEGÓCIO?
P7_D,EM QUAL DAS OPÇÕES ABAIXO VOCÊ GASTA A MAIOR PARTE DO SEU TEMPO DE TRABALHO?
P8_A,QUAIS DAS OPÇÕES ABAIXO FAZEM PARTE DA SUA ROTINA NO TRABALHO ATUAL COM CIÊNCIA DE DADOS?
P8_B,QUAIS AS TÉCNICAS E MÉTODOS LISTADOS ABAIXO VOCÊ COSTUMA UTILIZAR NO TRABALHO?
P8_D,EM QUAL DAS OPÇÕES ABAIXO VOCÊ GASTA A MAIOR PARTE DO SEU TEMPO NO TRABALHO?
